"sicbl_vintage","sicbl_code","sicbl_nhs_code","sicbl_name","icb_code","icb_name","index","index_label","scale","avg_score","weight_pop","n_lsoa","mhclg_comparison_available"
2023,"E38000097","04C","NHS Leicester, Leicestershire and Rutland ICB - 04C","E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",34.448561,372495,200,TRUE
2023,"E38000101","99A","NHS Cheshire and Merseyside ICB - 99A","E54000008","NHS Cheshire and Merseyside Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",37.110115,495849,302,TRUE
2023,"E38000106","06Q","NHS Mid and South Essex ICB - 06Q","E54000026","NHS Mid and South Essex Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",14.950169,408587,242,TRUE
2023,"E38000117","06T","NHS Suffolk and North East Essex ICB - 06T","E54000023","NHS Suffolk and North East Essex Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",23.788322,346048,206,TRUE
2023,"E38000119","03H","NHS Humber and North Yorkshire ICB - 03H","E54000051","NHS Humber and North Yorkshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",30.213369,157745,107,TRUE
2023,"E38000122","03K","NHS Humber and North Yorkshire ICB - 03K","E54000051","NHS Humber and North Yorkshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",23.472955,170085,103,TRUE
2023,"E38000126","05G","NHS Staffordshire and Stoke-on-Trent ICB - 05G","E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",17.440423,213258,134,TRUE
2023,"E38000127","99C","NHS North East and North Cumbria ICB - 99C","E54000050","NHS North East and North Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",20.932063,210512,133,TRUE
2023,"E38000130","00L","NHS North East and North Cumbria ICB - 00L","E54000050","NHS North East and North Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",21.962933,324286,200,TRUE
2023,"E38000135","00Y","NHS Greater Manchester ICB - 00Y","E54000057","NHS Greater Manchester Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",36.829938,243993,142,TRUE
2023,"E38000136","10Q","NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q","E54000044","NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",11.220468,720757,419,TRUE
2023,"E38000137","10R","NHS Hampshire and Isle of Wight ICB - 10R","E54000042","NHS Hampshire and Isle of Wight Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",26.378012,208949,125,TRUE
2023,"E38000141","03L","NHS South Yorkshire ICB - 03L","E54000061","NHS South Yorkshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",29.83603,268267,170,TRUE
2023,"E38000143","01G","NHS Greater Manchester ICB - 01G","E54000057","NHS Greater Manchester Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",32.344828,278867,161,TRUE
2023,"E38000146","03N","NHS South Yorkshire ICB - 03N","E54000061","NHS South Yorkshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",27.573757,564702,343,TRUE
2023,"E38000150","11X","NHS Somerset ICB - 11X","E54000038","NHS Somerset Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",19.136982,577091,339,TRUE
2023,"E38000153","05Q","NHS Staffordshire and Stoke-on-Trent ICB - 05Q","E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",15.326886,231478,140,TRUE
2023,"E38000161","01T","NHS Cheshire and Merseyside ICB - 01T","E54000008","NHS Cheshire and Merseyside Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",29.477468,163734,112,TRUE
2023,"E38000163","00N","NHS North East and North Cumbria ICB - 00N","E54000050","NHS North East and North Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",31.061452,148608,103,TRUE
2023,"E38000168","99G","NHS Mid and South Essex ICB - 99G","E54000026","NHS Mid and South Essex Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",24.027295,180884,108,TRUE
2023,"E38000170","01V","NHS Cheshire and Merseyside ICB - 01V","E54000008","NHS Cheshire and Merseyside Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",19.110002,117305,79,TRUE
2023,"E38000172","01X","NHS Cheshire and Merseyside ICB - 01X","E54000008","NHS Cheshire and Merseyside Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",28.953422,184728,121,TRUE
2023,"E38000173","05V","NHS Staffordshire and Stoke-on-Trent ICB - 05V","E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",13.874723,159211,93,TRUE
2023,"E38000174","01W","NHS Greater Manchester ICB - 01W","E54000057","NHS Greater Manchester Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",18.404231,297191,191,TRUE
2023,"E38000175","05W","NHS Staffordshire and Stoke-on-Trent ICB - 05W","E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",32.924102,268058,168,TRUE
2023,"E38000176","00P","NHS North East and North Cumbria ICB - 00P","E54000050","NHS North East and North Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",32.759793,277512,185,TRUE
2023,"E38000185","07G","NHS Mid and South Essex ICB - 07G","E54000026","NHS Mid and South Essex Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",21.03165,176788,100,TRUE
2023,"E38000187","02A","NHS Greater Manchester ICB - 02A","E54000057","NHS Greater Manchester Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",14.971606,236651,139,TRUE
2023,"E38000188","03Q","NHS Humber and North Yorkshire ICB - 03Q","E54000051","NHS Humber and North Yorkshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",12.407157,364227,212,TRUE
2023,"E38000190","03R","NHS West Yorkshire ICB - 03R","E54000054","NHS West Yorkshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",27.246671,356978,215,TRUE
2023,"E38000194","02E","NHS Cheshire and Merseyside ICB - 02E","E54000008","NHS Cheshire and Merseyside Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",16.835008,211797,132,TRUE
2023,"E38000197","07H","NHS Hertfordshire and West Essex ICB - 07H","E54000025","NHS Hertfordshire and West Essex Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",15.127749,322128,185,TRUE
2023,"E38000200","02G","NHS Lancashire and South Cumbria ICB - 02G","E54000048","NHS Lancashire and South Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",18.264645,119360,73,TRUE
2023,"E38000201","04V","NHS Leicester, Leicestershire and Rutland ICB - 04V","E54000015","NHS Leicester, Leicestershire and Rutland Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",13.868434,413498,234,TRUE
2023,"E38000204","07K","NHS Suffolk and North East Essex ICB - 07K","E54000023","NHS Suffolk and North East Essex Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",16.190173,237570,137,TRUE
2023,"E38000205","02H","NHS Greater Manchester ICB - 02H","E54000057","NHS Greater Manchester Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",25.20552,334014,200,TRUE
2023,"E38000208","12F","NHS Cheshire and Merseyside ICB - 12F","E54000008","NHS Cheshire and Merseyside Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",27.472949,322439,209,TRUE
2023,"E38000212","13T","NHS North East and North Cumbria ICB - 13T","E54000050","NHS North East and North Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",28.557192,504324,306,TRUE
2023,"E38000215","01H","NHS North East and North Cumbria ICB - 01H","E54000050","NHS North East and North Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",22.579081,322409,207,TRUE
2023,"E38000217","14L","NHS Greater Manchester ICB - 14L","E54000057","NHS Greater Manchester Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",38.677229,566778,295,TRUE
2023,"E38000221","15A","NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A","E54000044","NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",11.861892,519522,302,TRUE
2023,"E38000222","15C","NHS Bristol, North Somerset and South Gloucestershire ICB - 15C","E54000039","NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",17.706381,993108,581,TRUE
2023,"E38000223","14Y","NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y","E54000044","NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",11.90133,563782,335,TRUE
2023,"E38000225","15F","NHS West Yorkshire ICB - 15F","E54000054","NHS West Yorkshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",24.114633,820802,488,TRUE
2023,"E38000226","02M","NHS Lancashire and South Cumbria ICB - 02M","E54000048","NHS Lancashire and South Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",18.553877,200311,121,TRUE
2023,"E38000227","01E","NHS Lancashire and South Cumbria ICB - 01E","E54000048","NHS Lancashire and South Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",23.538285,211900,127,TRUE
2023,"E38000228","01K","NHS Lancashire and South Cumbria ICB - 01K","E54000048","NHS Lancashire and South Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",20.095112,331324,203,TRUE
2023,"E38000230","15N","NHS Devon ICB - 15N","E54000037","NHS Devon Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",20.141361,1232580,729,TRUE
2023,"E38000231","92G","NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G","E54000040","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",14.280571,954449,569,TRUE
2023,"E38000232","36J","NHS West Yorkshire ICB - 36J","E54000054","NHS West Yorkshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",34.682214,604663,342,TRUE
2023,"E38000233","27D","NHS Cheshire and Merseyside ICB - 27D","E54000008","NHS Cheshire and Merseyside Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",15.848574,768386,466,TRUE
2023,"E38000234","84H","NHS North East and North Cumbria ICB - 84H","E54000050","NHS North East and North Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",28.808096,527704,330,TRUE
2023,"E38000235","97R","NHS Sussex ICB - 97R","E54000064","NHS Sussex Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",21.229937,551007,332,TRUE
2023,"E38000236","18C","NHS Herefordshire and Worcestershire ICB - 18C","E54000019","NHS Herefordshire and Worcestershire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",17.654329,798019,491,TRUE
2023,"E38000237","91Q","NHS Kent and Medway ICB - 91Q","E54000032","NHS Kent and Medway Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",21.24994,1877417,1107,TRUE
2023,"E38000238","71E","NHS Lincolnshire ICB - 71E","E54000013","NHS Lincolnshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",22.239364,775864,435,TRUE
2023,"E38000239","26A","NHS Norfolk and Waveney ICB - 26A","E54000022","NHS Norfolk and Waveney Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",21.735202,1042267,624,TRUE
2023,"E38000240","93C","NHS North Central London ICB - 93C","E54000028","NHS North Central London Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",25.754023,1417144,806,TRUE
2023,"E38000241","42D","NHS Humber and North Yorkshire ICB - 42D","E54000051","NHS Humber and North Yorkshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",16.802705,430525,269,TRUE
2023,"E38000243","52R","NHS Nottingham and Nottinghamshire ICB - 52R","E54000060","NHS Nottingham and Nottinghamshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",22.902633,1042493,615,TRUE
2023,"E38000244","72Q","NHS South East London ICB - 72Q","E54000030","NHS South East London Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",20.606249,1796537,1040,TRUE
2023,"E38000245","36L","NHS South West London ICB - 36L","E54000031","NHS South West London Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",15.604152,1511629,878,TRUE
2023,"E38000247","16C","NHS North East and North Cumbria ICB - 16C","E54000050","NHS North East and North Cumbria Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",31.371483,689123,425,TRUE
2023,"E38000249","M1J4Y","NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y","E54000024","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",19.537399,1016380,587,TRUE
2023,"E38000251","B2M3M","NHS Coventry and Warwickshire ICB - B2M3M","E54000018","NHS Coventry and Warwickshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",19.974807,960602,557,TRUE
2023,"E38000252","D4U1Y","NHS Frimley ICB - D4U1Y","E54000034","NHS Frimley Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",12.359219,774255,455,TRUE
2023,"E38000253","D9Y0V","NHS Hampshire and Isle of Wight ICB - D9Y0V","E54000042","NHS Hampshire and Isle of Wight Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",15.977316,1633583,1001,TRUE
2023,"E38000254","X2C4Y","NHS West Yorkshire ICB - X2C4Y","E54000054","NHS West Yorkshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",25.804748,437794,260,TRUE
2023,"E38000255","A3A8R","NHS North East London ICB - A3A8R","E54000029","NHS North East London Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",26.334026,2026631,1087,TRUE
2023,"E38000256","W2U3Z","NHS North West London ICB - W2U3Z","E54000027","NHS North West London Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",23.635466,2117102,1183,TRUE
2023,"E38000257","M2L0M","NHS Shropshire, Telford and Wrekin ICB - M2L0M","E54000011","NHS Shropshire, Telford and Wrekin Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",20.099316,516479,313,TRUE
2023,"E38000258","15E","NHS Birmingham and Solihull ICB - 15E","E54000055","NHS Birmingham and Solihull Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",34.769636,1372005,793,TRUE
2023,"E38000259","D2P2L","NHS Black Country ICB - D2P2L","E54000062","NHS Black Country Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",30.213527,1223619,723,TRUE
2023,"E38000260","06H","NHS Cambridgeshire and Peterborough ICB - 06H","E54000056","NHS Cambridgeshire and Peterborough Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",16.613817,928260,527,TRUE
2023,"E38000261","15M","NHS Derby and Derbyshire ICB - 15M","E54000058","NHS Derby and Derbyshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",21.552601,1067075,651,TRUE
2023,"E38000262","78H","NHS Northamptonshire ICB - 78H","E54000059","NHS Northamptonshire Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",17.482729,792755,443,TRUE
2023,"E38000263","01Y","NHS Greater Manchester ICB - 01Y","E54000057","NHS Greater Manchester Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",29.835577,232806,142,TRUE
2023,"E38000264","92A","NHS Surrey Heartlands ICB - 92A","E54000063","NHS Surrey Heartlands Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",10.378474,1060683,624,TRUE
2023,"E38000265","70F","NHS Sussex ICB - 70F","E54000064","NHS Sussex Integrated Care Board","imd","Index of Multiple Deprivation","imd_composite",14.800003,892807,532,TRUE
